Date,ADVANC.BK,AEONTS.BK,AH.BK,AMATA.BK,AOT.BK,AP.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BDMS.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BLA.BK,BTS.BK,CBG.BK,CENTEL.BK,CHG.BK,CK.BK,COM7.BK,CPALL.BK,CPAXT.BK,CPF.BK,CRC.BK,DELTA.BK,DOHOME.BK,EA.BK,EGCO.BK,ERW.BK,GFPT.BK,GLOBAL.BK,GPSC.BK,GULF.BK,HANA.BK,HMPRO.BK,IRPC.BK,ITC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,NER.BK,OR.BK,ORI.BK,OSP.BK,PR9.BK,PSH.BK,PTT.BK,PTTEP.BK,PTTGC.BK,QH.BK,RATCH.BK,SAT.BK,SAWAD.BK,SCB.BK,SCC.BK,SCCC.BK,SCGP.BK,SIRI.BK,SPALI.BK,SPRC.BK,TASCO.BK,TIDLOR.BK,TISCO.BK,TOP.BK,TPIPL.BK,TRUE.BK,TTB.BK,TU.BK,TVO.BK,WHA.BK,^SET.BK
2021-08-24,5456900,1637700,4371400,9789200,24110400,15676900,108910300.0,22771500,54683800,8002200,55054800,65458900,7523100,1701400,11524800,908600,53803300,12729300,2735000,141617900,4417500,16286200,30639900,,37552300,14643500,6768000,22341041,16146000,1725300,21115600,5402000,26112428,10290500,,20412100,38091800,250379400,,41813500,43903600,31333200,3155700,45141800,12977700,49210000,10784700,9579300,12469800,104010200,6165400,5504700,2348200,1105700,142064800,26947000,39215700,18783700,6106738,3142300,11766403,,2380700,192200,12357500,321859500,2768600,62816500,13792500,,5602300,22702378,26104900,70905900,325690400,44738100,4788190,131307300,9388300.0
2021-08-25,7122600,1024500,3115400,6604400,17423700,11446200,63897500.0,14686200,37397900,4389800,25417400,35241600,14328600,1280400,4807200,2306800,49064500,14164300,1467400,76609000,7095500,15011400,16653000,,58877600,11706600,11174000,20202551,39071800,1365100,7979500,2979800,20961403,24400100,,23179000,31203800,90593900,,11407900,50710100,22091400,2420200,29688500,9483400,46022700,7924500,11785800,13084800,32550300,18106300,10824700,979800,1646800,88846900,6280900,33282100,18224700,9749106,1715800,14157605,,1534400,237300,8918400,75906200,5210000,24941500,11342100,,7455500,13440838,25948200,132709100,245874200,30848300,3909290,38791500,9269000.0
2021-08-26,9407000,579500,2169000,7714600,22311700,15744700,78422500.0,12090000,32130300,3031400,23219000,38908000,6194000,635500,5528500,3902500,22262800,7740000,2578900,123091500,9979100,6398000,15376000,,15111600,4577000,8497000,14191624,13303900,3980900,6586200,3466300,14305439,21624000,,15674600,11053600,52739800,,20100400,32451900,20787200,3351600,17749700,11088600,29577900,9625000,8706500,16513300,28739500,30803900,4935300,6514600,1034000,45226100,3411800,37208000,11830400,5318528,561100,13345816,,877100,166800,10749400,216162400,2560400,13028900,9736600,,3536900,10512455,28101800,79065100,158029700,27466600,7063980,73158200,11321400.0
2021-08-27,9635000,2307100,3050300,11823700,19207300,11967700,59335500.0,14417600,29907400,12575800,19849600,26691500,3504000,1074100,6123400,4337300,31660800,4312100,3440100,85266000,18798100,12000200,43354700,,25884500,7144800,8169000,13327793,45251700,1656900,14107800,5010500,10838553,10685800,,13616100,22859300,136362100,,8493400,42106500,23484500,3324300,31565900,15588600,42097800,11716500,10954200,13467000,33911500,19698700,9648900,2150100,981500,66171000,5632800,25871200,28205200,6123146,880200,14415335,,1142100,219200,9969700,293642100,4209100,35454100,6856400,,5877100,17251866,97707100,237865500,351619100,26357000,7315220,67378200,10413700.0
2021-08-30,8232500,619700,1777900,19718300,39591400,13947100,66755500.0,21866600,27194900,9638800,32527500,71102300,10143800,989000,6890100,4392200,43251400,5711300,3465000,99988500,7740100,29682000,49348900,,26651300,9519200,14496000,9059749,12781700,1356300,6920200,2705700,31562322,20039700,,14168500,31515200,239223400,,16658600,54987700,20155800,2948800,29387900,9976800,29237300,18598800,7972100,14745600,49318800,34177900,7159700,1640500,1766900,97994200,18303000,27748700,36515200,9755043,1312400,13741002,,2663300,195600,10442200,366414500,4484700,67243900,22442500,,6468600,33779952,90983000,102969200,365888600,31170800,2731520,98485300,11606900.0
2021-08-31,17957000,482500,2812200,11891100,27142200,21286900,103749500.0,60542600,27275100,5337400,43257900,40924900,34596300,2561600,5767300,3529900,63627000,7460700,4732400,76892000,6756800,19881600,47145700,,25203400,8241200,20356000,7052662,32891700,2506600,5118400,5576900,32753783,31311100,,23609200,36161700,105322800,,17771800,30990300,36450000,2560400,44047700,9734200,38120500,24056400,10705500,23345500,47574700,12951200,8747800,921500,993900,98277700,9230500,25662900,15088400,16905712,1109100,14201286,,2916000,478200,20908100,174733800,9329200,30091200,16693200,,2750700,15664130,48872800,198282700,187905100,32576500,3635610,50557200,11805400.0
2021-09-01,9287500,614700,8925700,14247200,33520800,24309400,80756500.0,25358300,13820100,6978400,31176200,45999700,13206000,1507900,10029800,2077600,37185500,7938500,4943600,105824100,4125400,13164200,114217600,,41507600,18612900,67371000,11336905,13229500,1286000,11984500,5439300,17452882,12132500,,10974400,39238500,123897500,,23168700,23832100,28715600,2080100,18342000,6128400,59584600,12178300,15848600,17695200,40043900,20396400,12215600,337800,613100,83087800,9287800,30577100,47675700,6742531,7209200,14881185,,3607100,551100,28794200,943623100,11108600,24129200,6933100,,3620100,17104960,28694900,160917200,179173100,25716600,3978480,82475600,15016600.0
2021-09-02,16097500,1594600,2082700,7998800,25815900,7951100,76291200.0,10097600,23281700,2884800,25085000,33039500,17400900,1757500,6669300,3095100,43353200,5639600,4662100,135291900,5513500,8802000,54590000,,26777000,15685200,83883000,9588018,13560000,902700,4619500,13863700,19990534,11515200,,12347800,13616700,95440800,,10526000,20259300,25179000,1155000,21150600,5091300,35282800,21912300,7187700,19918200,44372900,34066800,11569700,360400,838300,53803000,3780200,16759500,37322200,6080508,2576100,11780318,,1314000,156200,18019400,200831700,3429000,8497700,12999400,,2774800,5369321,34142500,351042400,144841700,87327000,3830090,30734900,12572400.0
2021-09-03,6704600,1460200,1690500,8141900,11296400,4540500,138277100.0,12703900,12098300,4726700,17825100,17310100,15248400,1546700,6789400,1800800,29086700,2085800,3115000,38582700,3554000,17725400,33519100,,8117900,10556700,45784000,7825306,16215200,798700,3743400,16162000,11696327,18361900,,8770600,16030000,39993200,,6219400,15556800,10307200,2227900,16520000,12430700,21346000,11109600,3788900,6266700,27725600,12676800,12548500,2660100,630100,49420400,7086700,18939900,29380400,6702483,1099400,6060890,,1025200,217700,12780000,113451800,9478900,27296200,2953800,,3717200,10073645,15331300,95859800,122359400,26145900,2112550,63565500,13519400.0
2021-09-06,7256600,470400,1631500,6559200,14060600,5562200,320856900.0,6231000,24513400,10457800,14042900,37106500,9387300,1120300,2810500,1478200,30140700,6198500,1783400,84531800,10075500,26626200,46574000,,28640900,3287000,30458000,10609785,12536300,1185100,4103700,4699000,17994134,7248700,,5028500,13010600,82383000,,15631400,8435400,11156900,1277400,10181300,10156500,19943300,7722300,3287600,15321400,15964200,9565300,12505100,581800,1148500,28381900,4623500,14956500,35597300,6978497,339200,7920176,,906700,95600,27537900,220854500,4655600,65529100,3019100,,2840600,11353098,18306200,73249300,111503500,24200700,4693700,73399400,17453600.0
2021-09-07,20584400,990200,2154900,8429800,19734100,8977200,179608200.0,8658700,21510600,16138500,21957700,27531000,8382500,1076000,2765200,2236600,28460400,16222200,2658600,64735700,4087400,22683000,54981600,,26419800,8856400,21572000,43867127,22531900,836100,7831800,3117000,24375454,13823400,,9421200,10616600,100280800,,12221200,25787600,8439100,5075600,18019500,8734100,42963600,9198600,7853000,23931700,33506900,14611500,6282900,1892300,1153400,75256800,6863300,22945300,31752300,4993184,3379800,9508664,,2026700,102700,39628600,365450100,8481400,46851700,4564900,,2658600,17085164,55578300,425050000,162517400,29762200,10919370,51363000,17815400.0
2021-09-08,23185100,965000,1750700,9852900,20858100,11798000,123525400.0,10567500,23606000,8329900,26808700,48724100,9730500,1556000,9551800,5585200,47593300,4215900,1786200,56529100,3470500,18885000,22934500,,6421400,7647500,25530000,27445267,13512300,1228200,1982600,1702100,21952603,9087800,,12600100,19500800,63263700,,11551400,18361500,21067200,4179300,13937100,7768800,24220800,8281400,4600600,19687800,12138800,8643500,3998500,365800,363900,41794200,9890900,18784700,25357100,3822958,3057700,6899541,,2460400,85400,24333000,147236200,9732300,29506500,12980700,,2099300,13235149,20070800,128139400,193742500,86860400,5290010,101949600,16254200.0
2021-09-09,20907100,417300,1380800,9234800,28785100,9232900,138859200.0,9741500,44713600,6120000,32308400,31639100,12257200,1130900,6637200,2944200,37269100,5487000,2327100,105224700,3985500,20252000,40607700,,9338900,13746900,19598000,12613660,9666200,848100,49792800,6025400,21045159,8864900,,10810600,18318800,100763800,,16556000,31167900,11688200,2405000,41821100,5799900,34766000,14739200,4163700,18292500,22697800,10426700,7707300,401900,818900,52432500,6329700,15999300,101766000,5255920,1743800,6311239,,2465600,90400,9519600,151661000,13208100,59612500,7071900,,3359400,17064666,19089300,238553900,152184200,60858100,4131930,38504300,15780100.0
2021-09-10,21824600,445300,2081400,7696200,41827600,4606300,119930200.0,7111700,17044400,1427000,27415500,44350800,6764700,950800,7124500,1758800,23791500,4121000,1651100,63897300,5062600,15001600,42031700,,5686800,12063800,15609000,18540661,24052800,1423500,18003400,6297700,21514829,15425700,,18650700,22446500,105761600,,25370700,12912600,21281600,2196000,23325000,7505500,23416800,9575600,10131000,11154400,14241900,13931700,3217800,305900,1281900,41561200,9451500,11667500,58211700,3244700,863900,7154246,,2132600,305500,17883100,149479200,4153700,26627900,9674400,,2616800,10899617,44046300,165621300,114051700,40388400,3635500,28086500,13847400.0
2021-09-13,8596600,630600,3612600,3106800,33802400,15626000,82400700.0,6257400,10529600,2247500,20986900,108454200,5134100,1432600,6895000,2324800,77734700,4734900,6581600,65299400,5392900,11176800,19756200,,22823200,8107600,39441000,9861578,38129200,1403600,36872600,1817500,17662395,8414300,,15945500,29350000,45395500,,19814500,19375200,13539700,1377900,16582000,4240400,37371000,17017800,9459500,17006100,18058900,31308300,4116100,125100,1305200,62065800,9511800,12599000,49507500,5252574,3261900,10730522,,1494400,106700,12202100,319732200,5304900,21962700,8846400,,1644400,12159476,36177200,82751300,387163900,26336000,1216160,31757100,20187900.0
2021-09-14,7610600,1273300,889700,15343500,29130700,33463400,96391500.0,6158700,12004100,2572700,24997700,70126200,7619200,1274900,7745600,740700,29939100,5406300,4016700,75086700,3892200,5972000,21784300,,44511400,4483300,72094000,5425823,12188400,1064400,17560000,1632300,8985684,6909300,,8166600,17411900,157809500,,21850800,14893600,12437900,753100,16863800,5209700,57627000,9742000,8727600,81659600,15329200,10144700,6885800,785600,329700,75280400,14996100,21640100,100080700,5318312,1134200,9729126,,1740200,98500,15985900,150107500,5710300,69208000,4763000,,1860400,16782308,10335100,107227300,159130000,23874900,4048660,44983900,13400300.0
2021-09-15,6287800,1913800,1216100,39480500,31843700,14622300,80095000.0,5953500,12440600,2909000,29508900,25747300,6944400,1653100,3410700,1372800,17969000,3512500,1842200,44054500,1223900,21803200,27957500,,14606500,8346600,38080000,11268061,7861800,863600,6901700,1472400,10682484,5802000,,12698800,13770900,135065400,,17669000,11429500,12430100,957100,16608000,5070300,33318300,9023200,9194800,39423800,28595700,19651000,6076400,446200,1276600,59325300,8198700,17547300,40137800,1029681,402000,11568689,,3032700,83300,17839400,141215800,8148600,23692600,3732500,,1739900,20291383,7761200,83554600,49801800,26677800,2924790,202124000,10532900.0
2021-09-16,4477700,595900,1083600,7965100,19309900,6294100,170054400.0,5544200,40074500,1314500,51219600,93634100,9005500,5649500,4571900,806500,30423300,1917600,3230100,187681100,2716300,9535600,26408800,,11162700,6736400,54859000,5084675,6766300,1032000,39623400,1703500,6918798,29640400,,10385000,11183400,171024800,,14564600,11329700,18216600,1766300,12990700,8147100,52693700,12339000,4858300,8695200,29646900,10290700,10167600,2057900,1529600,81297200,13578300,24049900,12118400,1993085,1795500,7078984,,3317000,155400,43561800,486961400,4246600,21371500,1760800,,3447600,14399750,6430800,59494900,212894900,32235200,3949220,84052400,11034400.0
2021-09-17,4806900,668000,1394600,11187200,30570900,12576800,148431300.0,12411400,25316200,4397900,46033000,100712900,15254500,2803100,10862700,4211400,54297600,3134000,2426700,191396300,7367900,9223000,29510000,,37797100,15819700,49382000,7034369,21701700,2253400,9147100,10621800,14165926,17580200,,42418400,34264100,134363900,,18382100,29743900,71759300,4659700,35100300,14094700,96267200,22505200,4750300,11994500,26936200,16814600,10173400,114000,1406000,141093900,11695700,17122800,48575700,5396464,1800600,10523370,,3292800,588100,26890800,836666500,9084800,31528300,4127800,,4995700,22665400,20069800,121961500,357088900,86535200,4400990,90862000,12874300.0
